LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.01,128,20,0.001,300,Leaky ReLU,0.8,0.8402
0.01,128,20,0.001,300,Leaky ReLU,0.5,0.8342
0.01,128,20,0.001,300,Leaky ReLU,1.0,0.8456
0.01,128,20,0.005,100,ReLU,0.8,0.8638
0.01,128,20,0.005,100,ReLU,0.5,0.8633
0.01,128,20,0.005,100,ReLU,1.0,0.8666
0.01,128,20,0.005,100,Sigmoid,0.8,0.8168
0.01,128,20,0.005,100,Sigmoid,0.5,0.8149
0.01,128,20,0.005,100,Sigmoid,1.0,0.8180
0.01,128,20,0.005,100,Leaky ReLU,0.8,0.8634
0.01,128,20,0.005,100,Leaky ReLU,0.5,0.8629
0.01,128,20,0.005,100,Leaky ReLU,1.0,0.8662
0.01,128,20,0.005,200,ReLU,0.8,0.8503
0.01,128,20,0.005,200,ReLU,0.5,0.8475
0.01,128,20,0.005,200,ReLU,1.0,0.8548
0.01,128,20,0.005,200,Sigmoid,0.8,0.7744
0.01,128,20,0.005,200,Sigmoid,0.5,0.7732
0.01,128,20,0.005,200,Sigmoid,1.0,0.7696
0.01,128,20,0.005,200,Leaky ReLU,0.8,0.8506
0.01,128,20,0.005,200,Leaky ReLU,0.5,0.8478
0.01,128,20,0.005,200,Leaky ReLU,1.0,0.8547
0.01,128,20,0.005,300,ReLU,0.8,0.8404
0.01,128,20,0.005,300,ReLU,0.5,0.8334
0.01,128,20,0.005,300,ReLU,1.0,0.8448
0.01,128,20,0.005,300,Sigmoid,0.8,0.7435
0.01,128,20,0.005,300,Sigmoid,0.5,0.7432
0.01,128,20,0.005,300,Sigmoid,1.0,0.7377
0.01,128,20,0.005,300,Leaky ReLU,0.8,0.8404
0.01,128,20,0.005,300,Leaky ReLU,0.5,0.8333
0.01,128,20,0.005,300,Leaky ReLU,1.0,0.8447
0.01,256,10,0.0001,100,ReLU,0.8,0.8559
0.01,256,10,0.0001,100,ReLU,0.5,0.8531
0.01,256,10,0.0001,100,ReLU,1.0,0.8546
0.01,256,10,0.0001,100,Sigmoid,0.8,0.7822
0.01,256,10,0.0001,100,Sigmoid,0.5,0.7812
0.01,256,10,0.0001,100,Sigmoid,1.0,0.7825
0.01,256,10,0.0001,100,Leaky ReLU,0.8,0.8551
0.01,256,10,0.0001,100,Leaky ReLU,0.5,0.8529
0.01,256,10,0.0001,100,Leaky ReLU,1.0,0.8542
0.01,256,10,0.0001,200,ReLU,0.8,0.8326
0.01,256,10,0.0001,200,ReLU,0.5,0.8313
0.01,256,10,0.0001,200,ReLU,1.0,0.8341
0.01,256,10,0.0001,200,Sigmoid,0.8,0.7331
0.01,256,10,0.0001,200,Sigmoid,0.5,0.7359
0.01,256,10,0.0001,200,Sigmoid,1.0,0.7297
0.01,256,10,0.0001,200,Leaky ReLU,0.8,0.8326
0.01,256,10,0.0001,200,Leaky ReLU,0.5,0.8313
0.01,256,10,0.0001,200,Leaky ReLU,1.0,0.8341
0.01,256,10,0.0001,300,ReLU,0.8,0.8087
0.01,256,10,0.0001,300,ReLU,0.5,0.8082
0.01,256,10,0.0001,300,ReLU,1.0,0.8113
0.01,256,10,0.0001,300,Sigmoid,0.8,0.6504
0.01,256,10,0.0001,300,Sigmoid,0.5,0.6679
0.01,256,10,0.0001,300,Sigmoid,1.0,0.6519
0.01,256,10,0.0001,300,Leaky ReLU,0.8,0.8087
0.01,256,10,0.0001,300,Leaky ReLU,0.5,0.8081
0.01,256,10,0.0001,300,Leaky ReLU,1.0,0.8111
0.01,256,10,0.001,100,ReLU,0.8,0.8548
0.01,256,10,0.001,100,ReLU,0.5,0.8523
0.01,256,10,0.001,100,ReLU,1.0,0.8545
0.01,256,10,0.001,100,Sigmoid,0.8,0.7816
0.01,256,10,0.001,100,Sigmoid,0.5,0.7801
0.01,256,10,0.001,100,Sigmoid,1.0,0.7811
0.01,256,10,0.001,100,Leaky ReLU,0.8,0.8546
0.01,256,10,0.001,100,Leaky ReLU,0.5,0.8523
0.01,256,10,0.001,100,Leaky ReLU,1.0,0.8542
0.01,256,10,0.001,200,ReLU,0.8,0.8322
0.01,256,10,0.001,200,ReLU,0.5,0.8313
0.01,256,10,0.001,200,ReLU,1.0,0.8339
0.01,256,10,0.001,200,Sigmoid,0.8,0.7325
0.01,256,10,0.001,200,Sigmoid,0.5,0.7356
0.01,256,10,0.001,200,Sigmoid,1.0,0.7293
0.01,256,10,0.001,200,Leaky ReLU,0.8,0.8321
0.01,256,10,0.001,200,Leaky ReLU,0.5,0.8310
0.01,256,10,0.001,200,Leaky ReLU,1.0,0.8339
0.01,256,10,0.001,300,ReLU,0.8,0.8087
0.01,256,10,0.001,300,ReLU,0.5,0.8076
0.01,256,10,0.001,300,ReLU,1.0,0.8110
0.01,256,10,0.001,300,Sigmoid,0.8,0.6493
0.01,256,10,0.001,300,Sigmoid,0.5,0.6669
0.01,256,10,0.001,300,Sigmoid,1.0,0.6513
0.01,256,10,0.001,300,Leaky ReLU,0.8,0.8087
0.01,256,10,0.001,300,Leaky ReLU,0.5,0.8076
0.01,256,10,0.001,300,Leaky ReLU,1.0,0.8109
0.01,256,10,0.005,100,ReLU,0.8,0.8528
0.01,256,10,0.005,100,ReLU,0.5,0.8514
0.01,256,10,0.005,100,ReLU,1.0,0.8525
0.01,256,10,0.005,100,Sigmoid,0.8,0.7787
0.01,256,10,0.005,100,Sigmoid,0.5,0.7772
0.01,256,10,0.005,100,Sigmoid,1.0,0.7772
0.01,256,10,0.005,100,Leaky ReLU,0.8,0.8529
0.01,256,10,0.005,100,Leaky ReLU,0.5,0.8516
0.01,256,10,0.005,100,Leaky ReLU,1.0,0.8522
0.01,256,10,0.005,200,ReLU,0.8,0.8306
0.01,256,10,0.005,200,ReLU,0.5,0.8296
0.01,256,10,0.005,200,ReLU,1.0,0.8335
0.01,256,10,0.005,200,Sigmoid,0.8,0.7312
0.01,256,10,0.005,200,Sigmoid,0.5,0.7342
0.01,256,10,0.005,200,Sigmoid,1.0,0.7282
0.01,256,10,0.005,200,Leaky ReLU,0.8,0.8307
0.01,256,10,0.005,200,Leaky ReLU,0.5,0.8293
0.01,256,10,0.005,200,Leaky ReLU,1.0,0.8335
0.01,256,10,0.005,300,ReLU,0.8,0.8079
0.01,256,10,0.005,300,ReLU,0.5,0.8063
0.01,256,10,0.005,300,ReLU,1.0,0.8093
0.01,256,10,0.005,300,Sigmoid,0.8,0.6474
0.01,256,10,0.005,300,Sigmoid,0.5,0.6630
0.01,256,10,0.005,300,Sigmoid,1.0,0.6486
0.01,256,10,0.005,300,Leaky ReLU,0.8,0.8079
0.01,256,10,0.005,300,Leaky ReLU,0.5,0.8066
0.01,256,10,0.005,300,Leaky ReLU,1.0,0.8095
0.01,256,20,0.0001,100,ReLU,0.8,0.8686
0.01,256,20,0.0001,100,ReLU,0.5,0.8679
0.01,256,20,0.0001,100,ReLU,1.0,0.8698
0.01,256,20,0.0001,100,Sigmoid,0.8,0.8262
0.01,256,20,0.0001,100,Sigmoid,0.5,0.8255
0.01,256,20,0.0001,100,Sigmoid,1.0,0.8277
0.01,256,20,0.0001,100,Leaky ReLU,0.8,0.8697
0.01,256,20,0.0001,100,Leaky ReLU,0.5,0.8679
0.01,256,20,0.0001,100,Leaky ReLU,1.0,0.8696
0.01,256,20,0.0001,200,ReLU,0.8,0.8541
0.01,256,20,0.0001,200,ReLU,0.5,0.8525
0.01,256,20,0.0001,200,ReLU,1.0,0.8560
0.01,256,20,0.0001,200,Sigmoid,0.8,0.7829
0.01,256,20,0.0001,200,Sigmoid,0.5,0.7836
0.01,256,20,0.0001,200,Sigmoid,1.0,0.7831
0.01,256,20,0.0001,200,Leaky ReLU,0.8,0.8541
0.01,256,20,0.0001,200,Leaky ReLU,0.5,0.8528
0.01,256,20,0.0001,200,Leaky ReLU,1.0,0.8558
0.01,256,20,0.0001,300,ReLU,0.8,0.8435
0.01,256,20,0.0001,300,ReLU,0.5,0.8409
0.01,256,20,0.0001,300,ReLU,1.0,0.8464
0.01,256,20,0.0001,300,Sigmoid,0.8,0.7547
0.01,256,20,0.0001,300,Sigmoid,0.5,0.7548
0.01,256,20,0.0001,300,Sigmoid,1.0,0.7519
0.01,256,20,0.0001,300,Leaky ReLU,0.8,0.8434
0.01,256,20,0.0001,300,Leaky ReLU,0.5,0.8411
0.01,256,20,0.0001,300,Leaky ReLU,1.0,0.8462
0.01,256,20,0.001,100,ReLU,0.8,0.8693
0.01,256,20,0.001,100,ReLU,0.5,0.8675
0.01,256,20,0.001,100,ReLU,1.0,0.8696
0.01,256,20,0.001,100,Sigmoid,0.8,0.8253
0.01,256,20,0.001,100,Sigmoid,0.5,0.8256
0.01,256,20,0.001,100,Sigmoid,1.0,0.8269
0.01,256,20,0.001,100,Leaky ReLU,0.8,0.8695
0.01,256,20,0.001,100,Leaky ReLU,0.5,0.8671
0.01,256,20,0.001,100,Leaky ReLU,1.0,0.8691
